Firm,Equity_Attributable_to_Owners,Value_in_Force
1,437.019,170.699
2,310.94,280.328
3,449.285,309.534
4,474.194,323.184
5,408.375,281.19
6,479.027,354.546
7,537.523,373.606
8,638.1124167,437.3
9,683.6284819,481.775
10,536.186,696.018
11,34.92520323,100.571
12,83.64066947,150.729
13,437.019,170.699
14,310.94,280.328
15,449.285,309.534
16,474.194,323.184
17,408.375,281.19
18,479.027,354.546
19,537.523,373.606
20,590.322,537.871
21,602.018,632.504
22,536.186,696.018
23,207.592,191.03
24,166.091,210.32
25,272.256,265.7
26,292.286,324.12
27,267.89,312.2
28,280.977,373.2
29,323.383,413.2
30,363.88,491.7
31,373.524,594.9
32,367.188,650.6
33,207.592,191.03
34,166.091,210.32
35,272.256,265.7
36,292.286,324.12
37,267.89,312.2
38,280.977,373.2
39,323.383,413.2
40,363.88,491.7
41,373.524,594.9
42,367.188,650.6
43,2246.868,3081
44,1695.906,2432
45,2278.310912,3344
46,2703.505648,3542
47,2656.977596,3331
48,3066.707499,3369
49,3689.626919,3771
50,4030.0174,3520
51,4458.342259,3577
52,5111.777942,4639
53,43.33853647,97.3
54,47.30225225,249.1
55,63.53229797,315.5
56,103.5820362,331
57,143.5398624,401
58,194.8579842,693
59,328.91054,866
60,310.7869468,1010
61,2246.868,3081
62,1695.906,2432
63,2224.239,3441.3
64,2625.275,3791.1
65,2550.964,3646.5
66,2951.239,3700
67,3557.505,4172
68,3805.045,4213
69,4159.515,4443
70,4806.711,5649
71,2867.072248,2934.2
72,3155.12042,2773
73,3526.10234,3441.4
74,4013.001974,3579
75,3988.681742,4241
76,4532.282654,5064
77,4855.279194,6110
78,5131.328437,6538
79,5358.339305,7244
80,5536.805701,8514
81,66.04975208,259.6
82,121.6627411,499
83,67.22670114,691.9
84,44.7620975,970.6
85,81.19957865,1335
86,154.6530989,1478
87,179.8825891,2106
88,214.4481818,2674
89,248.9282107,2968
90,295.452098,2644
91,2933.122,3193.8
92,2396.756,3272
93,3106.451,4133.3
94,3578.37,4549.6
95,3525.25,5577
96,4147.228,6542
97,4506.369,8216
98,4717.86,9212
99,4906.758,10212
100,5161.231,11158
101,4061.163464,4557.8
102,2937.190344,4114.2
103,3740.949776,5219.1
104,4321.840667,5271.1
105,4092.463773,5202.8
106,3764.988996,5313.8
107,4278.115352,5965
108,4693.925322,5382.8
109,5024.007634,5133.4
110,5175.946314,6044.9
111,75.10336032,672.4
112,65.56557327,937.7
113,63.41673101,1350.7
114,110.8692222,1775.6
115,146.0964044,1887.7
116,76.42472982,2363.3
117,88.25529334,2886.4
118,66.23613526,3352.2
119,514.9790843,3946.4
120,547.5351686,4003.4
121,3585.678,5230.3
122,2475.039,5051.9
123,3430.399,6569.8
124,3989.233,7046.7
125,3692.816,7090.5
126,3414.375,7677.1
127,3898.031,8851.4
128,4266.821,8735
129,4548.028,9079.8
130,4674.188,10048.3
131,3779.891642,5873.9
132,3430.816909,5245.9
133,4389.818162,7000.8
134,4975.570957,6612.6
135,4918.133425,5414.5
136,5178.004691,5671.6
137,5548.370885,6203.9
138,5711.190794,6194
139,5688.260573,7218
140,5858.959088,9715
141,170.9202562,798.3
142,157.1523681,1017.1
143,138.2961375,1425.4
144,170.5778677,1975.1
145,405.3440776,2365.1
146,433.0956529,2643.7
147,458.9599057,3040.5
148,516.6939802,3518
149,554.0694342,3654
150,576.222107,2988
151,3381.296,6663.2
152,2986.81,6274.8
153,4053.153,8436.6
154,4634.875,8596.9
155,4537.619,7787.5
156,4794.71,8321.4
157,5139.017,9249.9
158,5275.79,9716
159,5226.072,10875
160,5385.083,12705
161,3308.731256,1779
162,4075.535692,1526
163,3152.154154,2113
164,3359.472003,2076
165,3515.433749,2074
166,2038.679938,2257
167,1704.936143,2617
168,1720.958925,2868
169,1552.306679,3179
170,1590.044941,3485
171,509.502155,1753
172,1122.750731,1944
173,677.1947692,2668
174,758.0247154,3336
175,93.77539605,3431
176,130.9934672,4207
177,139.8464201,4958
178,271.0401017,6454
179,312.5350279,6443
180,247.6054973,6832
181,1643.751,3532
182,1285.97,3470
183,1949.968,4781
184,2252.639,5372
185,2200.291,5505
186,2616.858,6464
187,2924.873,7575
188,3065.959,9321
189,3180.155,9622
190,3376.981,10316
